trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
230,False,"{'a': 0.6, 'e': 1.8903591682419658e-05}",25,0,26.649881419356138,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
231,False,"{'a': 0.6, 'e': 1.874027848053822e-05}",25,14,19.098696497280272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.6, 'e': 1.8579072532699166e-05}",20,0,25.88711667466654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
233,False,"{'a': 0.6, 'e': 1.8419937740610438e-05}",30,0,31.6668707827998,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
234,False,"{'a': 0.6, 'e': 1.826283877565929e-05}",20,1,18.871293927079194,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.6, 'e': 1.8107741059302852e-05}",35,8,36.49802961008547,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.6, 'e': 1.795461074403907e-05}",30,0,29.07341481192723,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
237,False,"{'a': 0.6, 'e': 1.780341469493849e-05}",20,7,17.463261804893445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.6, 'e': 1.76541204717181e-05}",25,12,-0.07874629972424718,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
239,False,"{'a': 0.6, 'e': 1.7506696311339088e-05}",30,0,45.25922731488064,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
240,False,"{'a': 0.6, 'e': 1.736111111111111e-05}",30,0,32.46553236275979,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
241,False,"{'a': 0.6, 'e': 1.721733441228629e-05}",25,0,26.414539637916434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
242,False,"{'a': 0.6, 'e': 1.7075336384126766e-05}",25,9,26.362792546522506,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.6, 'e': 1.6935087808430286e-05}",25,2,30.002463123117007,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.6, 'e': 1.679656006449879e-05}",25,0,32.02215095494468,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,False,"{'a': 0.6, 'e': 1.665972511453561e-05}",20,0,-18.815734435209922,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
246,False,"{'a': 0.6, 'e': 1.6524555489457333e-05}",20,0,25.56550934973527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
247,False,"{'a': 0.6, 'e': 1.6391024275106952e-05}",20,0,20.72570703670474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
248,False,"{'a': 0.6, 'e': 1.625910509885536e-05}",20,0,19.99760762110929,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
249,False,"{'a': 0.6, 'e': 1.6128772116578765e-05}",20,0,23.902714498776444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.6, 'e': 1.6e-05}",20,0,21.637153932299473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
251,False,"{'a': 0.6, 'e': 1.5872763924382153e-05}",25,0,39.266097624617814,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.6, 'e': 1.5747039556563368e-05}",25,2,26.079668592939505,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.6, 'e': 1.5622803043322032e-05}",20,0,23.85583104520823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
254,False,"{'a': 0.6, 'e': 1.5500031000062e-05}",30,2,32.04868123465668,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.6, 'e': 1.5378700499807768e-05}",20,0,24.553224082921677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
256,False,"{'a': 0.6, 'e': 1.52587890625e-05}",30,0,32.15766807830991,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
257,False,"{'a': 0.6, 'e': 1.5140274644582053e-05}",20,16,7.887685954872192,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.6, 'e': 1.5023135628868457e-05}",25,19,12.966630945108314,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.6, 'e': 1.4907350814686721e-05}",25,8,19.139500010483058,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.6, 'e': 1.4792899408284024e-05}",25,14,17.417032081763736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.6, 'e': 1.46797610134907e-05}",30,0,41.328789431925344,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.6, 'e': 1.4567915622632714e-05}",30,21,14.781181813450143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.6, 'e': 1.4457343607685523e-05}",20,15,7.3573893937701715,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.6, 'e': 1.4348025711662075e-05}",20,16,6.235217105366806,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.6, 'e': 1.423994304022784e-05}",20,14,11.74927919069331,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.6, 'e': 1.4133077053536096e-05}",20,0,19.823571634524683,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
267,False,"{'a': 0.6, 'e': 1.4027409558276873e-05}",20,12,13.114781782625371,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.6, 'e': 1.392292269993317e-05}",30,0,41.33641414502027,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.6, 'e': 1.3819598955238318e-05}",20,0,33.412173664876846,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
270,False,"{'a': 0.6, 'e': 1.3717421124828532e-05}",20,2,24.80668351337396,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.6, 'e': 1.3616372326084885e-05}",20,7,16.09759571830149,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.6, 'e': 1.351643598615917e-05}",20,7,18.149792890819853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.6, 'e': 1.3417595835178253e-05}",30,14,15.61224907903624,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.6, 'e': 1.3319835899621716e-05}",20,0,24.465305463608964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.6, 'e': 1.3223140495867768e-05}",25,0,31.115481695214967,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.6, 'e': 1.312749422390254e-05}",25,0,23.63517283728752,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
277,False,"{'a': 0.6, 'e': 1.3032881961188077e-05}",30,0,37.61134826573443,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.6, 'e': 1.2939288856684436e-05}",20,16,7.877943424518477,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.6, 'e': 1.2846700325021518e-05}",20,0,22.065364220817102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.6, 'e': 1.2755102040816327e-05}",30,0,35.36537495504317,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
281,False,"{'a': 0.6, 'e': 1.2664479933131545e-05}",30,11,-15.435008252514262,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
282,False,"{'a': 0.6, 'e': 1.2574820180071425e-05}",25,15,17.914073015255532,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.6, 'e': 1.2486109203511094e-05}",20,0,21.680119998053975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
284,False,"{'a': 0.6, 'e': 1.2398333663955564e-05}",20,7,18.678038408523673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.6, 'e': 1.2311480455524777e-05}",20,13,-30.597954846214684,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
286,False,"{'a': 0.6, 'e': 1.2225536701061176e-05}",20,11,13.200345011371208,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.6, 'e': 1.2140489747356409e-05}",20,5,22.54375543145062,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.6, 'e': 1.2056327160493826e-05}",20,0,26.858395551693697,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
289,False,"{'a': 0.6, 'e': 1.1973036721303624e-05}",20,0,22.796027093331258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
290,False,"{'a': 0.6, 'e': 1.1890606420927467e-05}",20,0,-21.546188174534382,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
291,False,"{'a': 0.6, 'e': 1.1809024456489649e-05}",25,0,28.94547770107476,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
292,False,"{'a': 0.6, 'e': 1.1728279226871834e-05}",20,0,19.73335663364016,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
293,False,"{'a': 0.6, 'e': 1.1648359328588568e-05}",30,0,37.8479093584365,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
294,False,"{'a': 0.6, 'e': 1.156925355176084e-05}",20,6,21.67465935193089,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.6, 'e': 1.1490950876185005e-05}",30,22,13.303286737202386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.6, 'e': 1.1413440467494522e-05}",25,18,13.457006356581237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.6, 'e': 1.1336711673412011e-05}",20,7,-5.061288737383539,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
298,False,"{'a': 0.6, 'e': 1.1260754020089185e-05}",20,0,19.51084878259517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
299,False,"{'a': 0.6, 'e': 1.1185557208532343e-05}",30,22,14.32986149396381,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.6, 'e': 1.1111111111111112e-05}",25,20,8.598727081160142,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.6, 'e': 1.1037405768148255e-05}",20,12,8.694848124313873,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.6, 'e': 1.0964431384588396e-05}",20,16,8.236584124167855,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.6, 'e': 1.0892178326743566e-05}",20,0,23.747827793958027,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.6, 'e': 1.0820637119113573e-05}",20,0,23.358046976130325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
305,False,"{'a': 0.6, 'e': 1.0749798441279227e-05}",20,0,25.544311345413465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
306,False,"{'a': 0.6, 'e': 1.0679653124866504e-05}",25,19,12.082346745374764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.6, 'e': 1.0610192150579848e-05}",20,9,13.736717317985375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.6, 'e': 1.0541406645302749e-05}",20,3,22.65636179524956,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.6, 'e': 1.0473287879263938e-05}",25,0,30.402769028770873,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
310,False,"{'a': 0.6, 'e': 1.040582726326743e-05}",30,6,23.25972143151282,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
311,False,"{'a': 0.6, 'e': 1.0339016345984843e-05}",25,0,31.54277631878298,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.6, 'e': 1.027284681130835e-05}",20,0,24.9200684970366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
313,False,"{'a': 0.6, 'e': 1.0207310475762742e-05}",20,0,24.628287344341583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
314,False,"{'a': 0.6, 'e': 1.014239928597509e-05}",30,0,37.21043756332939,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
315,False,"{'a': 0.6, 'e': 1.0078105316200555e-05}",30,1,32.25897036715029,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.6, 'e': 1.00144207659029e-05}",20,0,27.59834395235089,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
317,False,"{'a': 0.6, 'e': 9.95133795738837e-06}",20,0,22.02765332176376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
318,False,"{'a': 0.6, 'e': 9.888849333491555e-06}",20,0,21.46054537310788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
319,False,"{'a': 0.6, 'e': 9.826947455311957e-06}",20,0,17.092423982450807,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
320,False,"{'a': 0.6, 'e': 9.765625e-06}",25,5,-11.819981819683479,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
321,False,"{'a': 0.6, 'e': 9.70487475859124e-06}",25,0,23.869266304697852,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
322,False,"{'a': 0.6, 'e': 9.644689633887581e-06}",25,0,34.66975747957877,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
323,False,"{'a': 0.6, 'e': 9.585062638384341e-06}",30,2,32.541102214057936,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.6, 'e': 9.525986892242037e-06}",20,0,20.907834352100785,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
325,False,"{'a': 0.6, 'e': 9.467455621301774e-06}",25,9,22.22020537718405,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.6, 'e': 9.409462155143212e-06}",20,0,23.267466559936075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.6, 'e': 9.351999925184e-06}",20,0,22.59195900335787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
328,False,"{'a': 0.6, 'e': 9.29506246281975e-06}",20,3,-0.5472823541203153,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
