trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.86017563576928,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-235.3500930196804,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-102.22377943016679,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,3,-127.86590043160741,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-104.03737116814852,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-35.25737219953946,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,0,-136.17281772568992,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.015625}",30,0,-89.9687535588481,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,-84.17639945718632,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,14,11.350558631782498,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",30,5,-98.2544760975376,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,11,3.6184857222875237,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",30,0,-56.467889875471755,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,10,-99.90130022921659,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,9,-25.648453891285463,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,19.194209870224235,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,-51.69551106553148,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,20,8.835755340951312,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,38.78712493799261,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0025}",20,0,16.25262135580198,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",25,16,17.033481785230734,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,-99.51709261163401,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
