trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
669,False,"{'a': 0.6, 'e': 2.2343323033061413e-06}",25,3,33.07904026391451,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.6, 'e': 2.2276676319893072e-06}",20,0,30.06746486903252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
671,False,"{'a': 0.6, 'e': 2.221032735801493e-06}",25,11,28.27271930363801,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.6, 'e': 2.2144274376417234e-06}",35,26,16.028841991709143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.6, 'e': 2.2078515617238024e-06}",35,18,31.0149159501754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.6, 'e': 2.201304933564617e-06}",25,20,7.895234781306359,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.6, 'e': 2.194787379972565e-06}",20,14,9.853518988435638,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.6, 'e': 2.1882987290360982e-06}",20,13,14.27637585516181,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.6, 'e': 2.1818388101123864e-06}",30,11,31.12708192193741,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.6, 'e': 2.1754074538161e-06}",20,3,27.74953408733197,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.6, 'e': 2.169004492008303e-06}",25,5,37.57283843217491,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.6, 'e': 2.1626297577854673e-06}",25,6,31.551154530514545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.6, 'e': 2.1562830854685926e-06}",30,15,32.59428294227078,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.6, 'e': 2.149964310592444e-06}",20,10,14.345477041147698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
