trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
619,False,"{'a': 0.5, 'e': 2.6098689584795948e-06}",25,4,34.79490097832054,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.5, 'e': 2.6014568158168575e-06}",25,12,26.572523676768398,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.5, 'e': 2.593085278795564e-06}",25,20,7.06132712984998,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.5, 'e': 2.584754086496211e-06}",30,18,25.455434348777793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.5, 'e': 2.5764629800916708e-06}",20,0,24.632126808921413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
624,False,"{'a': 0.5, 'e': 2.5682117028270876e-06}",20,9,18.277838852913217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.5, 'e': 2.56e-06}",20,13,14.257374992914894,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.5, 'e': 2.5518276189406855e-06}",20,6,26.23222042979289,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.5, 'e': 2.5436943089927226e-06}",20,14,10.7871183362132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.5, 'e': 2.5355998214937724e-06}",20,5,29.26810213095088,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.5, 'e': 2.5275439097565722e-06}",25,10,27.33255621956152,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.5, 'e': 2.5195263290501387e-06}",20,14,8.504374091819255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.5, 'e': 2.511546836581182e-06}",30,14,28.427735294796655,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.5, 'e': 2.503605191475725e-06}",20,7,23.764530368925286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.5, 'e': 2.4957011547609243e-06}",30,22,13.312075529765613,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'a': 0.5, 'e': 2.4878344893470927e-06}",20,12,15.342032673822619,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.5, 'e': 2.48000496000992e-06}",25,12,21.050220573498752,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.5, 'e': 2.472212333372889e-06}",20,11,16.628887463479543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.5, 'e': 2.464456377889883e-06}",20,12,13.98162339896842,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.5, 'e': 2.4567368638279892e-06}",25,19,10.538254186011017,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.5, 'e': 2.449053563250482e-06}",25,14,20.68547899641387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.5, 'e': 2.44140625e-06}",35,11,42.98719628746293,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.5, 'e': 2.433794699681903e-06}",30,17,26.705101431403758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.5, 'e': 2.42621868964781e-06}",25,18,10.876272071954219,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.5, 'e': 2.4186779989793177e-06}",20,12,14.63689292590428,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.5, 'e': 2.4111724084718954e-06}",30,20,20.837968010532652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.5, 'e': 2.403701700618953e-06}",25,8,25.50249490355387,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.5, 'e': 2.3962656595960853e-06}",30,11,33.14052400256071,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.5, 'e': 2.388864071245482e-06}",35,21,27.7505569095297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.5, 'e': 2.381496723060509e-06}",30,15,24.994996269648915,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.5, 'e': 2.3741634041704555e-06}",25,10,27.105113384804795,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.5, 'e': 2.3668639053254436e-06}",20,0,29.6968727748145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
651,False,"{'a': 0.5, 'e': 2.3595980188815034e-06}",30,2,47.23784674254039,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.5, 'e': 2.352365538785803e-06}",20,0,32.766055573030876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
653,False,"{'a': 0.5, 'e': 2.3451662605620424e-06}",25,6,33.91190801879777,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.5, 'e': 2.337999981296e-06}",20,10,17.340440171067968,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.5, 'e': 2.330866499621234e-06}",25,12,27.806994316239543,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.5, 'e': 2.3237656157049376e-06}",30,7,37.56456832667677,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.5, 'e': 2.3166971312339425e-06}",30,15,26.086089852329927,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.5, 'e': 2.309660849400874e-06}",20,0,31.425898754787188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.5, 'e': 2.3026565748904512e-06}",30,18,21.43551769736294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.5, 'e': 2.295684113865932e-06}",20,12,13.444523792204592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
